4700045611-21,Purchase Requisition Creation,20170703 00:00:00,USER 35,,
4502604569-60,Purchase Requisition Creation,20171021 00:00:00,USER 23,,
4502566490-10,Purchase Requisition Creation,20170801 00:00:00,USER 150,,
4502473709-10,Purchase Requisition Creation,20170130 00:00:00,USER 425,,
4502544102-30,Purchase Requisition Creation,20170606 00:00:00,USER 61,,
4502544252-20,Purchase Requisition Creation,20170608 00:00:00,USER 23,,
4502474332-60,Purchase Requisition Creation,20170131 00:00:00,USER 59,,
4502503333-20,Purchase Requisition Creation,20170321 00:00:00,USER 443,,
4502548719-10,Purchase Requisition Creation,20170617 00:00:00,USER 257,,
4502505332-20,Purchase Requisition Creation,20170324 00:00:00,USER 469,,
4502500761-20,Purchase Requisition Creation,20170317 00:00:00,USER 343,,
4502492731-10,Purchase Requisition Creation,20170224 00:00:00,USER 150,,
4502505616-10,Purchase Requisition Creation,20170325 00:00:00,USER 150,,
4502586097-10,Purchase Requisition Creation,20170914 00:00:00,USER 301,,
4502543446-30,Purchase Requisition Creation,20170609 00:00:00,USER 442,,
4502472766-20,Purchase Requisition Creation,20170127 00:00:00,USER 150,,
4502575234-20,Purchase Requisition Creation,20170822 00:00:00,USER 332,,
4502538531-270,Purchase Requisition Creation,20170531 00:00:00,USER 23,,
4502472689-140,Purchase Requisition Creation,20170127 00:00:00,USER 59,,
4502545890-30,Purchase Requisition Creation,20170614 00:00:00,USER 421,,
4502608307-20,Purchase Requisition Creation,20171029 00:00:00,USER 53,,
4502555254-70,Purchase Requisition Creation,20170704 00:00:00,USER 442,,
4502600960-140,Purchase Requisition Creation,20171014 00:00:00,USER 23,,
4502631561-70,Purchase Requisition Creation,20171215 00:00:00,USER 442,,
4502488660-10,Purchase Requisition Creation,20170224 00:00:00,USER 258,,
4502585654-40,Purchase Requisition Creation,20170901 00:00:00,USER 135,,
4502575364-40,Purchase Requisition Creation,20170818 00:00:00,USER 53,,
4502558859-250,Purchase Requisition Creation,20170711 00:00:00,USER 328,,
4502497334-10,Purchase Requisition Creation,20170309 00:00:00,USER 442,,
4502502286-10,Purchase Requisition Creation,20170320 00:00:00,USER 166,,
4502496063-50,Purchase Requisition Creation,20170308 00:00:00,USER 59,,
4502603186-80,Purchase Requisition Creation,20171019 00:00:00,USER 150,,
4502491389-40,Purchase Requisition Creation,20170301 00:00:00,USER 23,,
4502616388-90,Purchase Requisition Creation,20171116 00:00:00,USER 23,,
4502597840-10,Purchase Requisition Creation,20171007 00:00:00,USER 53,,
4502622705-10,Purchase Requisition Creation,20171128 00:00:00,USER 150,,
4502606303-10,Purchase Requisition Creation,20171025 00:00:00,USER 442,,
4502581670-120,Purchase Requisition Creation,20170907 00:00:00,USER 23,,
4502608026-120,Purchase Requisition Creation,20171026 00:00:00,USER 328,,
4502617062-60,Purchase Requisition Creation,20171116 00:00:00,USER 43,,
4502533159-50,Purchase Requisition Creation,20170519 00:00:00,USER 442,,
4502544374-30,Purchase Requisition Creation,20170612 00:00:00,USER 477,,
4502605351-200,Purchase Requisition Creation,20171021 00:00:00,USER 328,,
4502602520-30,Purchase Requisition Creation,20171018 00:00:00,USER 150,,
4502621020-50,Purchase Requisition Creation,20171123 00:00:00,USER 22,,
4502560254-10,Purchase Requisition Creation,20170713 00:00:00,USER 442,,
4502619989-130,Purchase Requisition Creation,20171122 00:00:00,USER 23,,
4502562904-80,Purchase Requisition Creation,20170719 00:00:00,USER 155,,
4502554333-30,Purchase Requisition Creation,20170630 00:00:00,USER 343,,
4502604675-70,Purchase Requisition Creation,20171021 00:00:00,USER 59,,
4502545673-20,Purchase Requisition Creation,20170613 00:00:00,USER 328,,
4502597646-60,Purchase Requisition Creation,20171005 00:00:00,USER 23,,
4502534093-180,Purchase Requisition Creation,20170518 00:00:00,USER 328,,
4700045536-10,Purchase Requisition Creation,20170529 00:00:00,USER 468,,
4502609202-50,Purchase Requisition Creation,20171101 00:00:00,USER 23,,
4502631821-70,Purchase Requisition Creation,20171214 00:00:00,USER 59,,
4502469113-30,Purchase Requisition Creation,20170117 00:00:00,USER 316,,
4502544133-30,Purchase Requisition Creation,20170610 00:00:00,USER 443,,
4502603793-20,Purchase Requisition Creation,20171020 00:00:00,USER 150,,
4502574825-20,Purchase Requisition Creation,20170823 00:00:00,USER 512,,
4502633318-40,Purchase Requisition Creation,20171214 00:00:00,USER 511,,
4502596515-240,Purchase Requisition Creation,20171004 00:00:00,USER 388,,
4502539822-10,Purchase Requisition Creation,20170601 00:00:00,USER 355,,
4502495775-10,Purchase Requisition Creation,20170308 00:00:00,USER 490,,
4502528804-20,Purchase Requisition Creation,20170511 00:00:00,USER 328,,
4502597529-10,Purchase Requisition Creation,20171004 00:00:00,USER 381,,
4502528804-200,Purchase Requisition Creation,20170509 00:00:00,USER 328,,
4502539822-90,Purchase Requisition Creation,20170601 00:00:00,USER 355,,
4502621809-40,Purchase Requisition Creation,20171125 00:00:00,USER 59,,
4502574600-20,Purchase Requisition Creation,20170822 00:00:00,USER 443,,
4502537183-50,Purchase Requisition Creation,20170527 00:00:00,USER 23,,
4502495761-80,Purchase Requisition Creation,20170308 00:00:00,USER 53,,
4502601282-10,Purchase Requisition Creation,20171016 00:00:00,USER 442,,
4502566895-140,Purchase Requisition Creation,20170802 00:00:00,USER 443,,
4502604518-20,Purchase Requisition Creation,20171021 00:00:00,USER 442,,
4502470623-90,Purchase Requisition Creation,20170124 00:00:00,USER 23,,
4502560170-250,Purchase Requisition Creation,20170714 00:00:00,USER 23,,
4502566490-100,Purchase Requisition Creation,20170801 00:00:00,USER 150,,
4502604983-110,Purchase Requisition Creation,20171019 00:00:00,USER 442,,
4502627008-180,Purchase Requisition Creation,20171207 00:00:00,USER 59,,
4502537196-10,Purchase Requisition Creation,20170525 00:00:00,USER 328,,
4502618704-250,Purchase Requisition Creation,20171121 00:00:00,USER 23,,
4502491724-40,Purchase Requisition Creation,20170301 00:00:00,USER 469,,
4502579405-50,Purchase Requisition Creation,20170831 00:00:00,USER 59,,
4502537727-60,Purchase Requisition Creation,20170529 00:00:00,USER 343,,
4502496973-200,Purchase Requisition Creation,20170309 00:00:00,USER 448,,
4502507340-130,Purchase Requisition Creation,20170329 00:00:00,USER 23,,
4502601282-70,Purchase Requisition Creation,20171015 00:00:00,USER 442,,
4502547953-60,Purchase Requisition Creation,20170617 00:00:00,USER 53,,
4502590680-20,Purchase Requisition Creation,20170923 00:00:00,USER 442,,
4502474891-30,Purchase Requisition Creation,20170201 00:00:00,USER 343,,
4502597666-10,Purchase Requisition Creation,20171004 00:00:00,USER 442,,
4502537477-10,Purchase Requisition Creation,20170524 00:00:00,USER 443,,
4502630086-20,Purchase Requisition Creation,20171212 00:00:00,USER 3,,
4502469078-20,Purchase Requisition Creation,20170119 00:00:00,USER 442,,
4502465959-80,Purchase Requisition Creation,20170113 00:00:00,USER 59,,
4502460620-10,Purchase Requisition Creation,20170103 00:00:00,USER 462,,
4502509419-90,Purchase Requisition Creation,20170401 00:00:00,USER 443,,
4502586560-30,Purchase Requisition Creation,20170914 00:00:00,USER 418,,
4502506612-230,Purchase Requisition Creation,20170325 00:00:00,USER 328,,
4502483937-10,Purchase Requisition Creation,20170216 00:00:00,USER 251,,
